,continent,year,ratio_employment_to_population
0,Africa,2000,33.290800000000004
1,Africa,2001,44.10839795918367
2,Africa,2002,30.640757142857144
3,Africa,2003,33.10565714285715
4,Africa,2004,31.372638095238095
5,Africa,2005,49.819252873563215
6,Africa,2006,44.246125
7,Africa,2007,33.084828571428574
8,Africa,2008,27.859385714285715
9,Africa,2009,28.387114285714286
10,Africa,2010,48.14272988505748
11,Africa,2011,48.00376694915254
12,Africa,2012,50.86987619047619
13,Africa,2013,52.80605
14,Africa,2014,57.99730104712042
15,Africa,2015,48.9759306122449
16,Africa,2016,46.6718524590164
17,Africa,2017,44.80473141486811
18,Africa,2018,43.36067857142857
19,Africa,2019,49.805699537750385
20,Africa,2020,45.35382509505703
21,Africa,2021,47.22036856368563
22,Africa,2022,48.003627949183304
23,Africa,2023,43.251909774436086
24,Asia,2000,57.17675961538461
25,Asia,2001,53.63804285714286
26,Asia,2002,45.198657142857144
27,Asia,2003,49.26767142857143
28,Asia,2004,42.913
29,Asia,2005,32.54505714285714
30,Asia,2006,34.54604761904762
31,Asia,2007,42.629276752767524
32,Asia,2008,47.31034285714286
33,Asia,2009,39.48429508196721
34,Asia,2010,44.406161764705885
35,Asia,2011,44.67591233766234
36,Asia,2012,42.25466339869281
37,Asia,2013,44.84923872679045
38,Asia,2014,44.51874092009685
39,Asia,2015,46.66295918367347
40,Asia,2016,45.80664406779661
41,Asia,2017,42.367502083333335
42,Asia,2018,40.41342600896861
43,Asia,2019,42.502716753022455
44,Asia,2020,42.14143307086614
45,Asia,2021,42.504517441860465
46,Asia,2022,44.912039164490864
47,Asia,2023,47.67789344262295
48,Europe,2000,57.05807142857143
49,Europe,2001,58.33528571428571
50,Europe,2002,49.625904761904756
51,Europe,2003,57.671482142857144
52,Europe,2004,54.288304945054946
53,Europe,2005,51.634007530120485
54,Europe,2006,51.73834256559766
55,Europe,2007,50.69768915929204
56,Europe,2008,49.70686397449522
57,Europe,2009,48.942065502183404
58,Europe,2010,48.103544491525426
59,Europe,2011,48.433586243386245
60,Europe,2012,48.08101736465781
61,Europe,2013,47.97755190133608
62,Europe,2014,47.67166432865732
63,Europe,2015,48.20881293532339
64,Europe,2016,48.62268457711443
65,Europe,2017,50.03570275791624
66,Europe,2018,50.5899100204499
67,Europe,2019,50.56744432314411
68,Europe,2020,49.29040839303992
69,Europe,2021,49.97842887473461
70,Europe,2022,51.48083255813954
71,Europe,2023,54.74438036809816
72,NorthAmerica,2000,44.74469523809524
73,NorthAmerica,2001,42.854592857142855
74,NorthAmerica,2002,41.71176571428572
75,NorthAmerica,2003,42.64294285714286
76,NorthAmerica,2004,43.06511904761904
77,NorthAmerica,2005,44.09835510204081
78,NorthAmerica,2006,44.393903571428574
79,NorthAmerica,2007,44.12261632653061
80,NorthAmerica,2008,45.27731020408164
81,NorthAmerica,2009,44.853946938775515
82,NorthAmerica,2010,44.52604415584416
83,NorthAmerica,2011,44.13444857142857
84,NorthAmerica,2012,46.719252380952376
85,NorthAmerica,2013,45.70411688311688
86,NorthAmerica,2014,45.31355604395605
87,NorthAmerica,2015,45.59222077922078
88,NorthAmerica,2016,46.40764406779661
89,NorthAmerica,2017,46.21344571428571
90,NorthAmerica,2018,47.29569206349206
91,NorthAmerica,2019,48.185514285714284
92,NorthAmerica,2020,42.22046666666667
93,NorthAmerica,2021,45.10858928571429
94,NorthAmerica,2022,45.32369285714286
95,NorthAmerica,2023,51.08451071428571
96,Oceania,2001,54.04589285714286
97,Oceania,2002,54.05110714285714
98,Oceania,2003,54.10557142857142
99,Oceania,2004,54.72717857142857
100,Oceania,2005,50.27631111111111
101,Oceania,2006,57.37664285714286
102,Oceania,2007,58.235571428571426
103,Oceania,2008,58.577535714285716
104,Oceania,2009,57.45664285714286
105,Oceania,2010,57.16544444444445
106,Oceania,2011,47.39185714285714
107,Oceania,2012,39.35766666666667
108,Oceania,2013,56.565178571428575
109,Oceania,2014,56.638464285714285
110,Oceania,2015,56.80082142857143
111,Oceania,2016,43.19193650793651
112,Oceania,2017,45.055285714285716
113,Oceania,2018,50.746375
114,Oceania,2019,39.60933333333333
115,Oceania,2020,56.05446428571429
116,Oceania,2021,55.37975
117,Oceania,2022,33.330035714285714
118,SouthAmerica,2000,48.232464285714286
119,SouthAmerica,2001,52.60330952380952
120,SouthAmerica,2002,50.56483333333333
121,SouthAmerica,2003,48.33864897959183
122,SouthAmerica,2004,52.52236734693877
123,SouthAmerica,2005,52.2468
124,SouthAmerica,2006,51.42760408163266
125,SouthAmerica,2007,51.99888163265307
126,SouthAmerica,2008,52.936922448979594
127,SouthAmerica,2009,51.680910714285716
128,SouthAmerica,2010,51.250876190476184
129,SouthAmerica,2011,51.66610476190476
130,SouthAmerica,2012,53.00989206349207
131,SouthAmerica,2013,52.07328253968254
132,SouthAmerica,2014,52.05240952380953
133,SouthAmerica,2015,52.481717857142854
134,SouthAmerica,2016,51.04138412698413
135,SouthAmerica,2017,51.65277142857143
136,SouthAmerica,2018,50.363533333333336
137,SouthAmerica,2019,50.846585714285716
138,SouthAmerica,2020,45.60375428571429
139,SouthAmerica,2021,49.151514285714285
140,SouthAmerica,2022,51.58821224489795
141,SouthAmerica,2023,52.11206071428572
