country,average_employment_ratio
AFG,21.55115
AGO,56.81876666666666
ALB,39.0210625
ARE,51.33756
ARG,44.22829411764706
ARM,34.900013333333334
AUS,54.662479591836735
AUT,52.80167708333334
BDI,64.06493333333334
BEL,40.70665789473684
BEN,63.928399999999996
BFA,49.86768
BGD,35.67712
BGR,39.377763157894734
BHS,73.3591
BIH,29.58297894736842
BLR,46.53262162162162
BLZ,46.619166666666665
BOL,60.4034
BRA,50.85777272727273
BRB,50.943720000000006
BRN,47.20717142857143
BTN,61.63793333333333
BWA,46.52379411764706
CAN,46.04131666666667
CHE,56.188273584905666
CHL,43.947
CHN,61.4366
CIV,50.92106666666667
CMR,54.797066666666666
COD,57.989733333333334
COG,44.058
COK,60.220777777777776
COL,45.224579999999996
COM,40.577400000000004
CPV,45.9337
CRI,43.59362608695652
CYP,45.038084033613444
CZE,37.30283050847458
DEU,51.37835416666667
DJI,18.8684
DNK,56.3610206185567
DOM,44.88579166666667
ECU,51.886581818181824
EGY,18.105540540540538
ESP,40.24579824561403
EST,46.90041509433963
ETH,65.0324
FIN,51.55182291666667
FJI,38.059533333333334
FRA,43.97414285714286
FSM,41.3802
GBR,61.24110434782609
GEO,42.50793103448276
GHA,64.13048571428571
GIN,42.206
GMB,48.0054
GNB,59.5516
GRC,32.56106666666667
GRD,38.83293333333334
GTM,50.374
GUY,42.6279
HKG,53.81521428571428
HND,48.59174444444444
HRV,36.396390476190476
HTI,41.458600000000004
HUN,43.46046666666667
IDN,50.9424
IND,24.975900000000003
IRL,44.42961061946903
IRN,12.43703448275862
IRQ,16.964133333333333
ISL,73.249898989899
ISR,47.00612727272727
ITA,37.093008771929824
JAM,45.978114285714284
JOR,12.7468
KEN,59.56255
KHM,74.04299999999999
KIR,36.7648
KOR,45.98181666666667
KOS,17.63665
LAO,67.18266666666666
LBN,25.538
LBR,63.3447
LCA,50.1537
LKA,38.9276
LSO,40.117599999999996
LTU,40.66654054054054
LUX,46.488389380530975
LVA,42.73538392857143
MAR,26.6923
MDA,57.36011666666666
MDG,75.967
MDV,47.22295
MEX,44.20530909090909
MHL,35.6708
MKD,32.571294736842106
MLI,46.46213333333333
MLT,43.21920183486239
MMR,48.088519999999995
MNE,34.58641818181818
MNG,50.66742222222222
MOZ,64.098
MRT,27.615466666666666
MSR,62.0908
MUS,37.28541121495327
MWI,64.3374
MYS,41.7666
NAM,49.988299999999995
NCL,52.76925
NER,51.327479999999994
NGA,56.63633333333333
NIC,52.843399999999995
NIU,56.0581
NLD,51.639736842105265
NOR,60.64120560747664
NPL,52.177099999999996
NRU,52.6573
PAK,19.320173333333333
PAN,46.98152631578947
PER,66.240825
PHL,44.459500000000006
PLW,47.101800000000004
PNG,52.6955
POL,42.105866666666664
PRT,50.68585964912281
PRY,56.11376470588235
PSE,15.557330434782608
ROU,43.76745614035087
RUS,48.981964285714284
RWA,50.502224999999996
SDN,18.89153333333333
SEN,35.40456666666667
SGP,55.5876
SLB,77.53055555555555
SLE,51.513733333333334
SLV,50.67432857142857
SOM,20.1824
SRB,35.3205294117647
SSD,62.0338
STP,22.0608
SUR,51.012800000000006
SVK,39.512188118811885
SVN,43.10457522123894
SWE,60.30411458333333
SWZ,36.830200000000005
SYC,48.65197142857143
TCD,44.5954
TGO,65.54916666666666
THA,63.333685714285714
TJK,33.71726315789474
TKL,59.92280000000001
TLS,39.21945
TON,45.580666666666666
TTO,42.98354545454546
TUN,22.506075000000003
TUR,29.31698275862069
TUV,35.855066666666666
TZA,72.82262857142857
UGA,68.40788571428571
UKR,45.2456875
URY,49.795663636363635
USA,43.700916666666664
UZB,35.76075
VEN,39.84530434782609
VNM,70.16574285714286
VUT,57.00834999999999
WLF,41.49093333333334
WSM,30.8918
YEM,12.202
ZAF,36.08933043478261
ZMB,50.5176
ZWE,61.26828
